# === VPN Config Sources ===
# Format: URL|CATEGORY|NAME

https://raw.githubusercontent.com/igareck/vpn-configs-for-russia/refs/heads/main/WHITE-CIDR-RU-checked.txt|cidr|WHITE CIDR RU Checked (igareck)
https://raw.githubusercontent.com/igareck/vpn-configs-for-russia/refs/heads/main/WHITE-CIDR-RU-all.txt|cidr|WHITE CIDR RU All (igareck)
https://raw.githubusercontent.com/igareck/vpn-configs-for-russia/refs/heads/main/WHITE-SNI-RU-all.txt|nekobox|WHITE SNI RU All (igareck)
https://raw.githubusercontent.com/igareck/vpn-configs-for-russia/refs/heads/main/Vless-Reality-White-Lists-Rus-Mobile.txt|vless|VLESS Reality White Lists RU Mobile (igareck)
https://raw.githubusercontent.com/igareck/vpn-configs-for-russia/refs/heads/main/Vless-Reality-White-Lists-Rus-Mobile-2.txt|vless|VLESS Reality White Lists RU Mobile 2 (igareck)
https://raw.githubusercontent.com/igareck/vpn-configs-for-russia/refs/heads/main/BLACK_VLESS_RUS.txt|v2ray|BLACK VLESS RUS (igareck)
https://raw.githubusercontent.com/igareck/vpn-configs-for-russia/refs/heads/main/BLACK_VLESS_RUS_mobile.txt|v2ray|BLACK VLESS RUS Mobile (igareck)
https://raw.githubusercontent.com/igareck/vpn-configs-for-russia/refs/heads/main/BLACK_SS+All_RUS.txt|v2ray|BLACK SS+All RUS (igareck)
https://raw.githubusercontent.com/igareck/vpn-configs-for-russia/refs/heads/main/TOR-BRIDGES/TOR_BRIDGES_TOP100.txt|happ|TOR Bridges TOP100 (igareck)
https://raw.githubusercontent.com/igareck/vpn-configs-for-russia/refs/heads/main/TOR-BRIDGES/TOR_BRIDGES_ALL.txt|happ|TOR Bridges ALL (igareck)

https://raw.githubusercontent.com/kort0881/vpn-vless-configs-russia/main/githubmirror/clean/vless.txt|v2ray|Kort VLESS Clean
https://raw.githubusercontent.com/kort0881/vpn-vless-configs-russia/main/githubmirror/ru-sni/vless_ru.txt|v2ray|Kort VLESS RU SNI
https://raw.githubusercontent.com/kort0881/vpn-vless-configs-russia/main/githubmirror/clean/vmess.txt|v2ray|Kort VMess Clean
https://raw.githubusercontent.com/kort0881/vpn-vless-configs-russia/main/githubmirror/clean/trojan.txt|v2ray|Kort Trojan Clean
https://raw.githubusercontent.com/kort0881/vpn-vless-configs-russia/main/githubmirror/clean/ss.txt|v2ray|Kort SS Clean

https://raw.githubusercontent.com/AvenCores/goida-vpn-configs/refs/heads/main/githubmirror/1.txt|vless|GOIDA VLESS 1 (AvenCores)
https://raw.githubusercontent.com/AvenCores/goida-vpn-configs/refs/heads/main/githubmirror/10.txt|misc|GOIDA 10 (AvenCores)
# Добавь другие номера из githubmirror/ (26.txt и т.д. — они обновляются)

https://raw.githubusercontent.com/EtoNeYaProject/etoneyaproject.github.io/refs/heads/main/1|nekobox|EtoNeYa Raw 1
https://raw.githubusercontent.com/EtoNeYaProject/etoneyaproject.github.io/refs/heads/main/2|nekobox|EtoNeYa Raw 2
https://cdn.jsdelivr.net/gh/EtoNeYaProject/EtoNeYaProject.github.io@refs/heads/main/1|nekobox|EtoNeYa CDN 1
https://raw.githubusercontent.com/EtoNeYaProject/etoneyaproject.github.io/refs/heads/main/general.txt|nekobox|EtoNeYa General
https://etoneya.a9fm.site/2|nekobox|EtoNeYa Main

https://raw.githubusercontent.com/ByeWhiteLists/ByeWhiteLists2/refs/heads/main/ByeWhiteLists2.txt|nekobox|ByeWhiteLists 2
https://raw.githubusercontent.com/SilentGhostCodes/WhiteListVpn/refs/heads/main/Whitelist.txt|nekobox|SilentGhost Whitelist 1
https://raw.githubusercontent.com/SilentGhostCodes/WhiteListVpn/refs/heads/main/Whitelist%20№2.txt|nekobox|SilentGhost Whitelist 2
https://raw.githubusercontent.com/SilentGhostCodes/WhiteListVpn/refs/heads/main/BlackList.txt|v2ray|SilentGhost Blacklist

https://gitverse.ru/api/repos/cid-uskoritel/cid-white/raw/branch/master/whitelist.txt|nekobox|CID White List
https://nowmeow.pw/8ybBd3fdCAQ6Ew5H0d66Y1hMbh63GpKUtEXQClIu/whitelist|nekobox|NowMeow Whitelist
https://wlrus.lol/confs/blackl.txt|v2ray|WLRUS Black List
https://gitverse.ru/api/repos/bywarm/rser/raw/branch/master/selected.txt|nekobox|ByWarm Selected
https://gitverse.ru/api/repos/bywarm/rser/raw/branch/master/wl.txt|nekobox|ByWarm WL
https://gitverse.ru/api/repos/bywarm/rser/raw/branch/master/merged.txt|nekobox|ByWarm Merged
https://s3c3.001.gpucloud.ru/wlr/merged.txt|nekobox|GPU Cloud Merged

https://whiteprime.github.io/xraycheck/configs/white-list_available|v2ray|WhitePrime Available WL
https://whiteprime.github.io/xraycheck/configs/available|v2ray|WhitePrime Available
https://whiteprime.github.io/xraycheck/configs/available_st|v2ray|WhitePrime Available ST
https://whiteprime.github.io/xraycheck/configs/white-list_available_st|v2ray|WhitePrime WL ST

https://alley.serv00.net/1|nekobox|Alley Config 1
https://alley.serv00.net/2|nekobox|Alley Config 2
